adaptive,attn_type,batch_chunk,batch_size,bptt_bp,clamp_len,clip,clip_nonemb,cuda,d_embed,d_head,d_inner,d_model,data,dataset,debug,decay_rate,device_ids,div_val,dropatt,dropout,dynamic_loss_scale,emb_init,emb_init_range,eta_min,eval_interval,eval_tgt_len,ext_len,finetune_v2,finetune_v3,fp16,gpu0_bsz,init,init_range,init_std,log_interval,lr,lr_min,max_eval_steps,max_step,mem_at_end,mem_backprop_depth,mem_len,mom,multi_gpu,n_all_param,n_head,n_layer,n_nonemb_param,n_token,not_tied,num_mem_tokens,optim,patience,pre_lnorm,proj_init_std,read_mem_from_cache,restart,restart_dir,same_length,sample_softmax,scheduler,seed,static_loss_scale,test loss,test ppl,tgt_len,tied,varlen,warmup_step,work_dir,test bpc,mem_recursion_depth
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,0,0.0,True,151107538,10,16,41066400,267735,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1338,1,3.39,29.81,150,True,False,0,./runs/base-wt103/20211226-122625,,
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,0,0.0,True,151107538,10,16,41066400,267735,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.4,30.11,150,True,False,0,./runs/base-wt103/20211225-122046,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,1.0,0,0.0,True,151128038,10,16,41066400,267735,False,50,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.26,26.03,50,True,False,0,./runs/base-mem-50-50-bpd-1-tgt-50-wt103/20220113-122136,,
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1, 2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,15,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,0.0,0,0.0,True,151107538,10,16,41066400,267735,False,150,adam,0,False,0.01,False,False,,False,-1,cosine,1338,1,3.31,27.304000000000002,150,True,False,0,./runs/base-mem-250-250-wt103/20211227-105341,,
False,0,1,64,False,-1,0.25,False,True,512,64,2048,512,../data/enwik8/,enwik8,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,128,0,False,False,False,32,normal,0.1,0.02,200,0.00025,0.0,-1,400000,False,0.0,20,0.0,True,41055436,8,12,40949760,204,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,0.87,,128,True,False,0,./runs/base-txl-20-tgt-128-enwik8/20220109-221202,1.26105,
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,0,0.0,True,151138288,10,16,41066400,267735,False,75,adam,0,False,0.01,,False,,False,-1,cosine,1111,1,3.28,26.570999999999998,150,True,False,0,./runs/base-mem-75-75-wt103/20211207-132001,,0.0
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,0.0,0,0.0,True,151107538,10,16,41066400,267735,False,75,adam,0,False,0.01,False,False,,False,-1,cosine,1111,1,3.3,27.043000000000003,150,True,False,0,./runs/base-mem-75-75-wt103/20211226-122904,,
False,0,1,64,False,-1,0.25,False,True,512,64,2048,512,../data/enwik8/,enwik8,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,128,0,False,False,False,32,normal,0.1,0.02,200,0.00025,0.0,-1,400000,False,0.0,200,0.0,True,41055436,8,12,40949760,204,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,0.79,,128,True,False,0,./runs/base-txl-200-tgt-128-enwik8/20220123-011349,1.1396700000000002,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,4.0,0,0.0,True,151111638,10,16,41066400,267735,False,10,adam,0,False,0.01,False,False,,False,-1,cosine,1313,1,3.27,26.238000000000003,50,True,False,0,./runs/base-mem-10-10-bpd-4-tgt-50-wt103/20220124-111322,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,4.0,0,0.0,True,151111638,10,16,41066400,267735,False,10,adam,0,False,0.01,False,False,,False,-1,cosine,1312,1,3.28,26.456,50,True,False,0,./runs/base-mem-10-10-bpd-4-tgt-50-wt103/20220125-221847,,
